Sample_ID	OmyY1	OmyY1	R18251	R18251	R23044	R23044	R30220	R30220	R34286	R34286	R38993	R38993	SH114448	SH114448	R000200	R000200	R033859	R033859	R09768	R09768	R12730	R12730	R24463	R24463	R00586	R00586	R19198	R19198	R23330	R23330	R30355	R30355	R34385	R34385	R39365	R39365	SH121006	SH121006	R018277	R018277	R03418	R03418	R10226	R10226	R13191	R13191	R24493	R24493	R12738	R12738	R19633	R19633	R23813	R23813	R30423	R30423	R34662	R34662	R40094	R40094	SH127236	SH127236	R02551	R02551	R03924	R03924	R10530	R10530	R16543	R16543	R26255	R26255	R13730	R13730	R19731	R19731	R24068	R24068	R30589	R30589	R35324	R35324	R40152	R40152	OMS00116	OMS00116	R02676	R02676	R04143	R04143	R11238	R11238	R19868	R19868	R27050	R27050	R14225	R14225	R21285	R21285	R24273	R24273	R30678	R30678	R37205	R37205	R40252	R40252	OMS00143	OMS00143	R02783	R02783	R04203	R04203	R11353	R11353	R19948	R19948	R30551	R30551	R14383	R14383	R21330	R21330	R24370	R24370	R33010	R33010	R37229	R37229	R40319	R40319	OMS00144	OMS00144	R02785	R02785	R04760	R04760	R11790	R11790	R20353	R20353	R32124	R32124	R14511	R14511	R21561	R21561	R28680	R28680	R33411	R33411	R37560	R37560	R40342	R40342	OMS00159	OMS00159	R03042	R03042	R04944	R04944	R12528	R12528	R21023	R21023	R32692	R32692	R14589	R14589	R22570	R22570	R30015	R30015	R33562	R33562	R38346	R38346	R40580	R40580	OMS00169	OMS00169	R03306	R03306	R08985	R08985	R12611	R12611	R22488	R22488	R36639	R36639
M030356_M301_8A	0	0	2	4	2	2	1	2	3	4	3	3	2	4	1	3	3	3	2	2	4	2	0	0	1	3	1	3	3	4	3	3	1	2	1	1	1	2	4	4	1	4	2	4	3	4	4	2	1	1	2	4	2	4	3	3	0	0	4	4	3	2	0	0	4	4	0	0	1	2	3	3	1	2	2	4	1	2	3	4	3	3	3	3	1	4	1	3	1	3	3	3	1	2	3	4	2	2	0	0	1	4	2	2	3	3	1	4	2	2	3	3	1	2	3	3	1	3	1	2	1	2	1	1	1	3	1	3	4	4	0	0	2	2	3	4	4	2	1	3	1	3	1	3	2	4	1	3	4	4	1	3	1	1	2	4	2	2	1	4	2	4	4	4	2	2	3	3	1	4	2	4	2	2	1	3	1	1	2	4	1	1	2	2	4	2	3	3	4	2	3	3
M031240_M310_10E	0	0	4	4	2	2	1	1	4	4	3	4	4	4	1	1	3	3	2	2	2	2	0	0	3	3	3	3	4	4	3	4	2	2	1	1	2	2	4	4	4	4	2	2	3	3	4	4	1	1	2	4	2	4	2	3	0	0	3	4	3	3	0	0	4	4	0	0	2	2	1	3	1	1	2	4	2	2	4	4	1	1	1	3	1	1	1	1	1	1	3	3	1	2	4	4	2	2	0	0	4	4	2	3	3	3	4	4	2	2	3	3	2	2	1	1	1	3	1	1	1	1	1	2	3	3	1	3	0	0	0	0	2	2	4	4	4	2	1	1	1	1	1	3	4	4	1	1	0	0	1	1	1	1	2	2	2	2	1	4	4	4	4	4	2	2	3	3	4	4	2	4	0	0	1	1	1	1	4	4	1	1	1	1	4	4	3	3	4	4	3	3
M030345_M301_6F	0	0	4	4	2	2	1	2	3	4	3	4	2	4	1	3	3	3	2	2	4	2	0	0	3	3	1	3	3	4	3	3	1	2	1	1	1	2	4	2	1	4	2	4	3	4	4	4	1	1	2	2	2	4	3	3	0	0	0	0	3	2	0	0	4	4	0	0	1	2	1	3	1	2	2	4	1	2	4	4	1	3	1	3	1	1	1	3	1	3	3	3	1	2	3	4	2	2	0	0	4	4	2	2	3	3	1	4	2	2	3	3	1	2	1	3	3	3	1	2	1	1	1	1	1	3	1	3	1	4	0	0	2	2	3	4	4	2	1	1	1	3	1	3	2	4	1	3	4	4	1	3	1	3	2	4	2	2	4	4	2	4	4	2	2	2	3	3	1	4	2	4	0	0	1	3	1	1	4	4	1	1	2	2	4	2	3	3	4	2	3	3
M030372_M301_10A	0	0	4	4	2	2	2	2	3	3	4	4	2	2	1	3	3	3	2	2	4	4	0	0	3	3	1	1	3	3	3	3	1	1	1	1	1	1	2	2	1	1	4	4	4	4	4	4	1	1	2	2	2	4	3	3	0	0	0	0	2	2	0	0	4	4	0	0	1	2	3	3	1	1	4	4	2	2	3	3	3	3	3	3	1	1	3	3	3	3	3	3	2	2	3	3	2	2	0	0	1	4	2	2	3	3	1	1	2	2	3	3	2	2	3	3	1	3	2	2	1	1	1	1	1	1	1	3	1	1	0	0	2	2	3	3	4	2	1	1	3	3	1	3	2	2	3	3	0	0	3	3	3	3	2	4	2	2	1	4	2	2	2	2	2	2	3	3	1	1	2	4	0	0	3	3	1	1	2	4	1	1	1	2	2	2	1	1	2	2	3	3
M030385_M301_11F	0	0	4	4	2	2	1	1	3	4	4	4	2	4	1	3	3	3	2	2	4	2	0	0	3	3	1	3	3	4	3	3	1	2	1	1	1	2	2	2	1	4	2	4	3	4	4	2	1	1	4	4	2	4	3	3	0	0	4	4	3	2	0	0	4	4	0	0	1	2	3	3	1	1	4	4	2	2	3	4	1	3	3	3	1	4	1	3	1	3	3	3	1	2	3	4	2	4	0	0	4	4	2	2	3	3	1	4	2	2	3	3	1	2	1	3	3	3	1	2	1	2	1	1	1	3	1	3	1	4	0	0	2	2	3	4	4	2	1	1	1	3	1	3	2	4	1	3	4	4	3	3	1	3	2	2	2	2	1	1	2	4	4	2	2	2	3	3	1	4	2	2	2	2	1	3	1	1	2	4	1	1	2	2	4	2	3	3	4	2	3	3
M030301_M301_1B	0	0	4	4	2	2	1	1	4	4	4	4	4	4	3	3	3	3	2	2	2	2	0	0	3	3	3	3	4	4	3	4	2	2	1	4	2	2	0	0	4	4	2	2	3	3	4	4	1	1	4	4	2	4	2	2	0	0	3	4	3	3	0	0	4	4	0	0	2	2	3	3	1	1	4	4	2	2	4	4	3	3	1	1	1	1	1	1	1	1	1	3	1	2	4	4	2	2	0	0	1	4	2	2	1	3	4	4	2	2	3	3	2	2	1	1	1	1	1	1	1	1	1	2	3	3	1	3	1	1	0	0	2	2	4	4	4	2	1	1	1	1	1	3	4	4	1	1	0	0	1	1	1	1	2	2	2	2	1	4	4	4	4	4	2	2	3	3	4	4	2	4	0	0	1	1	1	1	4	4	1	1	2	2	4	4	3	3	4	4	3	3
M030499_M303_1H	0	0	2	4	2	2	2	2	3	3	3	3	2	2	1	1	3	3	2	2	4	4	0	0	1	1	1	1	3	3	3	3	1	1	1	1	1	1	2	2	1	1	4	4	4	4	4	2	1	1	2	2	2	4	3	3	0	0	0	0	2	2	0	0	4	4	0	0	1	1	3	3	2	2	4	4	1	1	3	3	3	3	3	3	1	1	3	3	3	3	3	3	2	2	3	3	2	2	0	0	1	1	2	2	3	3	1	1	2	2	1	3	1	2	3	3	3	3	2	2	1	2	1	1	1	1	3	3	0	0	0	0	2	2	3	3	4	2	1	3	3	3	1	3	2	2	3	3	0	0	3	3	3	3	4	4	2	2	1	1	2	2	2	2	2	3	3	3	1	1	2	2	0	0	3	3	1	1	2	2	1	1	2	2	2	2	1	1	2	2	3	4
M030507_M303_2H	0	0	4	4	2	2	0	0	3	4	3	3	2	4	1	1	3	3	2	2	4	2	0	0	1	3	1	3	3	4	3	4	1	2	1	1	1	2	2	2	1	4	2	4	3	4	4	4	1	1	2	4	2	4	3	3	0	0	0	0	3	2	0	0	4	4	0	0	1	2	3	3	1	2	4	4	1	2	4	4	3	3	3	3	1	4	1	3	1	3	3	3	1	2	3	4	2	2	0	0	4	4	2	3	1	3	1	4	2	2	3	3	1	2	1	3	3	3	1	2	1	1	1	1	1	3	1	3	4	4	4	4	2	2	3	4	4	2	1	1	1	3	1	3	2	4	1	3	4	4	1	3	1	3	2	4	2	2	1	4	2	4	4	2	2	2	3	3	1	4	2	4	2	2	1	3	1	1	4	4	1	1	2	2	4	2	3	3	4	2	3	3
M030515_M303_3H	0	0	4	4	2	2	1	1	4	4	3	3	4	4	1	1	3	3	2	2	2	2	0	0	3	3	3	3	4	4	3	3	2	2	1	1	2	2	4	2	4	4	2	2	3	3	4	4	1	1	4	4	2	4	2	2	0	0	3	4	3	3	0	0	4	4	0	0	2	2	3	3	1	1	4	4	2	2	4	4	1	1	1	1	1	4	1	1	1	1	1	3	1	2	4	4	2	2	0	0	4	4	2	2	3	3	4	4	2	2	3	3	2	2	1	1	1	3	1	1	1	1	1	1	3	3	1	3	1	4	0	0	2	2	4	4	4	2	1	1	1	1	1	3	4	4	1	1	0	0	1	1	1	1	2	2	2	2	4	4	4	4	4	4	2	2	3	3	4	4	2	4	0	0	1	1	1	1	4	4	1	1	2	2	4	4	3	3	4	4	3	3
M030523_M303_4H	0	0	4	4	2	2	1	2	3	4	3	3	2	4	1	1	3	3	2	2	4	2	0	0	3	3	1	3	3	4	3	4	1	2	1	4	1	2	4	2	1	4	2	4	3	4	4	4	1	1	2	4	2	4	3	3	0	0	0	0	3	2	0	0	4	4	0	0	1	2	3	3	1	2	4	4	1	1	4	4	1	3	1	3	1	4	1	3	1	3	3	3	1	2	3	4	2	2	0	0	4	4	2	2	3	3	1	4	2	2	3	3	1	2	1	3	1	1	1	2	1	1	1	2	1	3	1	3	0	0	0	0	2	2	3	4	4	2	1	1	1	3	1	3	2	4	1	3	4	4	1	3	1	1	2	4	2	2	1	4	2	4	4	2	2	2	3	3	1	4	2	4	2	2	1	3	1	1	4	4	1	1	2	2	4	2	3	3	4	2	3	3
M030531_M303_5H	0	0	4	4	2	2	1	2	3	4	0	0	2	4	1	3	3	3	2	2	4	2	0	0	1	3	1	3	3	4	3	3	1	2	1	1	1	2	4	2	1	4	2	4	0	0	4	4	1	1	2	4	2	4	2	3	0	0	0	0	3	2	0	0	4	4	0	0	1	2	3	3	1	2	4	4	1	2	4	4	3	3	3	3	1	1	1	3	1	3	3	3	1	2	3	4	2	2	0	0	4	4	2	2	3	3	1	4	2	2	3	3	1	2	1	3	1	1	1	2	1	1	1	2	1	3	1	3	0	0	0	0	2	2	3	4	4	2	1	1	1	3	1	3	2	4	1	3	4	4	3	3	1	3	2	4	2	2	1	1	2	4	4	2	2	2	3	3	1	4	2	4	2	2	1	3	1	1	4	4	1	3	2	2	4	2	3	3	4	2	3	3
M030546_M303_7G	0	0	4	4	2	2	2	2	3	3	3	4	2	2	1	3	3	3	2	2	4	4	0	0	3	3	1	1	3	3	3	3	1	1	1	1	1	1	2	2	1	1	4	4	4	4	2	2	1	2	2	2	2	4	3	3	0	0	0	0	2	2	0	0	4	4	0	0	2	2	3	3	1	1	4	4	2	2	3	4	3	3	3	3	1	1	3	3	3	3	3	3	2	2	3	3	2	2	0	0	4	4	2	2	3	3	1	1	4	2	3	3	2	2	3	3	1	3	2	2	1	1	1	1	1	1	1	3	1	1	0	0	2	2	3	3	4	2	1	1	3	3	1	3	2	2	3	3	0	0	3	3	3	3	2	2	2	2	1	1	2	2	2	2	2	2	3	3	1	1	2	4	0	0	3	3	1	1	2	2	1	1	2	2	2	2	1	1	2	2	3	3
M030357_M301_8B	0	0	4	4	2	2	1	1	4	4	3	4	4	4	1	1	3	3	2	2	2	2	0	0	3	3	3	3	4	4	3	4	2	2	1	1	2	2	4	4	4	4	2	2	3	3	4	4	1	1	4	4	2	4	2	3	0	0	3	4	3	3	0	0	4	4	0	0	2	2	1	1	1	1	4	4	2	2	4	4	1	3	1	1	1	1	1	1	1	1	1	3	1	2	4	4	2	2	0	0	4	4	2	3	3	3	4	4	2	2	3	3	2	2	1	3	3	3	1	1	1	1	1	1	3	3	1	3	1	1	0	0	2	2	0	0	4	2	1	1	1	1	1	3	4	4	1	1	0	0	1	1	1	1	2	2	2	2	1	4	4	4	4	4	2	2	3	3	4	4	2	4	0	0	1	1	1	1	4	4	1	1	2	2	4	4	3	3	4	4	3	3
M031241_M310_10F	0	0	4	4	2	2	1	1	4	4	3	4	4	4	1	1	3	3	2	2	2	2	0	0	3	3	3	3	4	4	3	4	2	2	1	1	2	2	4	2	4	4	2	2	3	3	4	4	1	1	4	4	2	4	2	2	0	0	0	0	3	3	0	0	4	4	0	0	2	2	3	3	1	1	4	4	2	2	4	4	1	1	1	1	1	1	1	1	1	1	1	3	1	2	4	4	2	2	0	0	4	4	2	3	1	3	4	4	2	2	3	3	2	2	1	3	1	3	1	1	1	1	1	1	3	3	1	3	0	0	0	0	2	2	4	4	4	2	1	1	1	1	1	3	4	4	1	1	0	0	1	3	1	1	2	2	2	2	1	4	4	4	4	4	2	2	3	3	4	4	2	4	0	0	1	1	1	1	4	4	1	1	2	2	4	4	3	3	4	4	3	3
M030346_M301_6G	0	0	4	4	2	2	1	2	3	4	3	4	2	4	3	3	3	3	2	2	4	2	0	0	3	3	1	3	3	4	3	3	1	2	1	4	1	2	2	2	1	4	2	4	3	4	4	2	1	2	2	4	2	4	3	3	0	0	3	4	3	2	0	0	4	4	0	0	1	2	3	3	1	2	4	4	1	1	3	4	1	3	1	3	1	4	1	3	1	3	3	3	1	2	3	4	2	2	0	0	4	4	2	2	3	3	1	4	2	2	3	3	1	2	1	3	3	3	1	2	1	1	1	1	1	3	1	3	1	1	2	2	2	2	3	4	4	2	1	1	1	3	1	3	2	4	1	3	4	4	1	3	1	3	2	4	2	2	1	4	2	4	4	2	2	2	1	3	1	4	2	4	2	2	1	3	1	1	2	4	1	1	2	2	4	2	3	3	4	2	3	3
M030373_M301_10B	0	0	4	4	2	2	1	1	3	4	3	3	2	4	1	1	3	3	2	2	4	2	0	0	3	3	1	3	3	4	3	3	1	2	1	4	2	2	2	2	1	4	2	4	3	4	4	2	1	1	2	4	2	4	2	3	0	0	0	0	3	2	0	0	4	4	0	0	2	2	3	3	1	2	4	4	1	2	4	4	1	3	3	3	1	1	1	3	1	3	3	3	1	2	3	4	2	2	0	0	4	4	2	2	3	3	1	4	2	2	3	3	2	2	1	3	1	3	1	2	1	1	1	1	1	3	1	3	1	4	0	0	2	2	3	4	4	2	1	1	1	3	1	3	2	4	1	3	4	4	3	3	1	1	2	4	2	2	1	4	2	4	4	2	2	2	3	3	1	4	2	4	0	0	1	3	1	1	2	4	1	1	2	2	4	2	3	3	4	2	3	3
M030386_M301_11G	0	0	4	4	2	2	1	2	3	4	3	4	2	4	1	3	3	3	2	2	4	2	0	0	3	3	1	3	3	4	3	3	1	2	1	4	1	2	2	2	1	4	2	4	3	4	4	4	1	1	2	4	2	4	2	3	0	0	0	0	3	2	0	0	4	4	0	0	1	2	3	3	1	2	4	4	1	2	3	4	1	3	1	3	1	1	1	3	1	3	1	3	1	2	3	4	2	2	0	0	4	4	2	2	3	3	1	4	2	2	3	3	1	2	1	3	3	3	1	2	1	1	1	1	1	3	1	3	0	0	2	4	2	2	3	4	4	2	1	1	1	3	1	3	2	4	1	3	4	4	1	3	1	3	2	4	2	2	1	4	2	4	4	2	2	2	3	3	1	4	2	4	2	2	1	3	1	1	4	4	1	1	2	2	4	2	3	3	4	2	3	3
M030302_M301_1C	0	0	4	4	2	2	2	2	3	3	3	3	2	2	3	3	3	3	2	2	4	4	0	0	1	3	1	1	3	3	3	3	1	1	1	1	1	1	2	2	1	1	4	4	4	4	2	2	1	1	2	2	2	4	3	3	0	0	0	0	2	2	0	0	4	4	0	0	1	2	3	3	2	2	4	4	1	1	4	4	3	3	3	3	1	1	3	3	3	3	3	3	2	2	3	3	2	2	0	0	4	4	2	2	3	3	1	1	2	2	1	3	1	2	3	3	1	1	2	2	1	1	1	1	1	1	3	3	0	0	0	0	2	2	3	3	4	2	1	3	3	3	1	3	2	2	3	3	0	0	3	3	3	3	4	4	2	2	1	1	2	2	2	2	2	2	3	3	1	1	2	4	2	2	3	3	1	1	2	2	1	1	2	2	2	2	1	1	2	2	3	3
M030500_M303_2A	0	0	4	4	2	2	1	1	3	4	0	0	2	4	1	3	3	3	2	2	4	2	0	0	3	3	1	3	3	4	3	3	1	2	1	1	1	2	4	4	1	4	2	4	3	4	4	2	1	1	2	4	2	4	2	3	0	0	0	0	3	2	0	0	4	4	0	0	1	2	3	3	1	2	2	4	1	1	3	4	1	3	1	3	1	1	1	3	1	3	1	3	1	2	3	4	2	4	0	0	4	4	2	2	1	3	1	4	2	2	3	3	1	2	1	3	1	1	1	2	1	1	1	1	1	3	1	3	1	4	0	0	2	2	3	4	4	2	1	1	1	3	1	3	2	4	1	3	4	4	1	3	1	3	2	4	2	2	1	4	2	4	4	2	2	2	3	3	1	4	2	4	2	3	1	3	1	1	2	4	1	1	2	2	4	2	3	3	4	2	3	3
M030508_M303_3A	0	0	4	4	2	2	1	1	4	4	3	3	4	4	1	1	3	3	2	2	2	2	0	0	3	3	3	3	4	4	3	3	2	2	1	4	2	2	2	2	4	4	2	2	3	3	4	4	1	1	4	4	2	4	2	2	0	0	3	4	3	3	0	0	4	4	0	0	2	2	1	3	1	1	2	2	2	2	4	4	3	3	1	3	1	1	1	1	1	1	3	3	1	2	4	4	2	2	0	0	4	4	2	3	1	3	4	4	2	2	3	3	2	2	1	1	1	1	1	1	1	1	1	2	3	3	1	3	1	4	0	0	2	2	4	4	4	2	1	1	1	1	1	3	4	4	1	1	0	0	1	1	1	1	2	2	2	2	1	1	4	4	4	4	2	2	3	3	4	4	2	4	0	0	1	1	1	1	4	4	1	1	2	2	4	4	3	3	4	4	3	3
M030516_M303_4A	0	0	4	4	2	2	1	2	3	4	3	4	2	4	1	3	3	3	2	2	4	2	0	0	3	3	1	3	3	4	3	3	1	2	1	1	1	2	4	4	1	4	2	4	3	4	4	4	1	1	2	4	2	4	3	3	0	0	0	0	3	2	0	0	4	4	0	0	1	2	3	3	1	2	4	4	1	1	3	4	3	3	1	3	1	1	1	3	1	3	3	3	2	2	3	4	2	2	0	0	4	4	2	2	3	3	1	4	2	2	3	3	1	2	1	3	1	3	1	2	1	1	1	2	1	3	1	3	0	0	4	4	2	2	3	4	4	2	1	3	1	3	1	3	2	4	1	3	4	4	1	3	1	3	2	4	2	2	1	4	2	4	4	2	2	2	3	3	1	4	2	2	2	2	1	3	1	1	4	4	1	1	2	2	4	2	3	3	4	2	3	3
